labels	salinity_surface_whole_yr_max	salinity_surface_whole_yr_mean	salinity_surface_whole_yr_min	salinity_water_column_whole_yr_max	salinity_water_column_whole_yr_mean	salinity_water_column_whole_yr_min	salinity_surface_repro_max	salinity_surface_repro_mean	salinity_surface_repro_min	salinity_water_column_repro_max	salinity_water_column_repro_mean	salinity_water_column_repro_min	sst_whole_yr_max	sst_whole_yr_mean	sst_whole_yr_min	sst_repro_max	sst_repro_mean	sst_repro_min	chlo_surface_max	chlo_surface_mean	chlo_surface_min	chlo_benthic_max	chlo_benthic_mean	chlo_benthic_min	IND	LAT	LON
pal_bal_012	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_168	40.1238330000	3.9812830000
pal_bal_013	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_138	39.6731670000	3.4593670000
pal_bal_014	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_033	39.8553333300	0.6701666700
pal_bal_015	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pan_spaS_002	37.0011470000	-1.8550670000
pal_bal_016	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_040	39.8470666700	0.6818833300
pal_bal_017	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_072	39.6166666700	2.3870333300
pal_bal_018	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_008	39.8790000000	3.4158000000
pal_bal_019	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_153	40.1218000000	4.0228170000
pal_bal_020	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_151	40.1280330000	4.0025830000
pal_bal_021	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_146	40.1280330000	4.0025830000
pal_bal_022	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_112	42.3551800000	3.2608860000
pal_bal_023	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_108	42.0474666700	3.2268833300
pal_bal_024	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_024	39.8566166700	0.6756000000
pal_bal_025	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_176	39.8032830000	3.5565330000
pal_bal_026	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_070	39.6166666700	2.3870333300
pal_bal_027	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_001	39.9724166700	3.6624333300
pal_bal_028	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_144	39.7172830000	3.4782330000
pal_bal_029	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_076	39.7212166700	3.4738000000
pal_bal_030	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_019	39.8850166700	0.6639000000
pal_bal_031	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_018	39.8807000000	0.6738333300
pal_bal_032	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_028	39.8991333300	0.6763000000
pal_bal_033	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_020	39.8850166700	0.6639000000
pal_bal_036	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_014	39.8925000000	0.6657500000
pal_bal_037	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_157	39.6990170000	3.4721330000
pal_bal_038	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_071	39.6166666700	2.3870333300
pal_bal_039	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_118	42.3240166700	3.3216500000
pal_bal_040	38.5719718933105	37.6021824869616	36.655200958252	38.6189765930176	37.759561942455	36.6540489196777	38.5719718933105	37.4885299287993	36.655200958252	38.3795928955078	37.8968560931326	37.1678276062012	28.6961879730225	19.0645269662484	12.4015254974365	28.6961879730225	23.1631930230678	16.1006641387939	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_134	40.0729330000	4.0272000000
pal_bal_041	38.5869522094727	37.5630865535517	36.655330657959	38.7240524291992	37.6965590422181	36.6007499694824	38.5869522094727	37.4392017715279	36.655330657959	38.3795928955078	37.8968560931326	37.1678276062012	28.675220489502	19.0833719927689	12.425087928772	28.675220489502	23.1759629742853	16.0762577056885	0.289155	0.07986	0.038717	0.371102	0.238797	0.106909	pal_bal_093	39.8036000000	4.3922666700
pal_bal_042	38.5869522094727	37.5630865535517	36.655330657959	38.7240524291992	37.6965590422181	36.6007499694824	38.5869522094727	37.4392017715279	36.655330657959	38.3795928955078	37.8968560931326	37.1678276062012	28.675220489502	19.0833719927689	12.425087928772	28.675220489502	23.1759629742853	16.0762577056885	0.289155	0.07986	0.038717	0.371102	0.238797	0.106909	pal_bal_066	40.1390833300	4.1567666700
pal_bal_043	38.5869522094727	37.5630865535517	36.655330657959	38.7240524291992	37.6965590422181	36.6007499694824	38.5869522094727	37.4392017715279	36.655330657959	38.3795928955078	37.8968560931326	37.1678276062012	28.675220489502	19.0833719927689	12.425087928772	28.675220489502	23.1759629742853	16.0762577056885	0.289155	0.07986	0.038717	0.371102	0.238797	0.106909	pal_bal_080	39.7730166700	4.3064166700
pal_bal_044	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_161	40.1270000000	3.9921670000
pal_bal_045	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_007	39.8790000000	3.4158000000
pal_bal_046	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_164	40.1270000000	3.9921670000
pal_bal_047	38.5206184387207	37.622679140376	36.692569732666	38.5302314758301	37.8628038417334	36.7238426208496	38.5206184387207	37.5275479897685	36.692569732666	38.5079078674316	38.010577410117	37.4826126098633	28.6828384399414	19.0622611073242	12.3655529022217	28.6828384399414	23.1548750866419	16.152437210083	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_022	39.8707166700	0.6705000000
pal_bal_049	38.5206184387207	37.622679140376	36.692569732666	38.5302314758301	37.8628038417334	36.7238426208496	38.5206184387207	37.5275479897685	36.692569732666	38.5079078674316	38.010577410117	37.4826126098633	28.6828384399414	19.0622611073242	12.3655529022217	28.6828384399414	23.1548750866419	16.152437210083	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_123	42.0607666700	3.2138333300
pal_bal_050	38.6436424255371	37.5888957538824	36.679615020752	38.7106475830078	37.8449164215176	36.6784172058105	38.6436424255371	37.4830487349938	36.679615020752	38.5097579956055	38.0033063705854	37.4616012573242	28.6413059234619	19.0719250372086	12.3664236068726	28.6413059234619	23.1553040756576	16.1560344696045	0.300993	0.084878	0.041761	0.466922	0.326794	0.138993	pal_bal_160	40.1270000000	3.9921670000
pal_bal_051	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_178	39.8157830000	3.5370170000
pal_bal_052	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_182	39.8228670000	3.5536170000
pal_bal_053	38.5869522094727	37.5630865535517	36.655330657959	38.7240524291992	37.6965590422181	36.6007499694824	38.5869522094727	37.4392017715279	36.655330657959	38.3795928955078	37.8968560931326	37.1678276062012	28.675220489502	19.0833719927689	12.425087928772	28.675220489502	23.1759629742853	16.0762577056885	0.298573	0.08363	0.040954	0.470461	0.327546	0.134808	pal_bal_149	40.1280330000	4.0025830000
pal_bal_054	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_145	39.7172830000	3.4782330000
pal_bal_055	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_096	40.0227666700	4.3254500000
pal_bal_056	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_122	42.2807230000	3.3185900000
pal_bal_057	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_097	40.0227666700	4.3254500000
pal_bal_058	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_152	40.1218000000	4.0228170000
pal_bal_059	38.4536666870117	37.6336617305361	36.6610565185547	38.4559593200684	37.8492185877657	36.7050971984863	38.4536666870117	37.5319515315966	36.6610565185547	38.4031410217285	38.0011495502516	37.4766044616699	28.7376861572266	19.0549207446219	12.4006452560425	28.7376861572266	23.1583116136748	16.109733581543	0.30386	0.085906	0.042927	0.505518	0.345582	0.137236	pal_bal_180	39.8236000000	3.5370170000
pal_bal_061	38.2533111572266	37.4539833507319	36.8470458984375	38.3258171081543	37.6058591236764	36.7851486206055	38.2533111572266	37.3857077236833	36.8470458984375	38.384708404541	37.8105167191604	37.1285285949707	28.841215133667	19.3927492437692	13.2136402130127	28.841215133667	23.400686362694	17.4466342926025	0.210527	0.06283	0.028825	0.094191	0.0377	0.023467	pal_bal_173	39.8032830000	3.5565330000
pal_bal_062	38.2533111572266	37.4539833507319	36.8470458984375	38.3258171081543	37.6058591236764	36.7851486206055	38.2533111572266	37.3857077236833	36.8470458984375	38.384708404541	37.8105167191604	37.1285285949707	28.841215133667	19.3927492437692	13.2136402130127	28.841215133667	23.400686362694	17.4466342926025	0.210527	0.06283	0.028825	0.094191	0.0377	0.023467	pal_bal_009	39.8790000000	3.4158000000
pal_bal_063	38.3120574951172	37.5291482662332	36.7613754272461	38.3896598815918	37.6777345922424	36.6711578369141	38.3120574951172	37.4202525917141	36.7613754272461	38.4161148071289	37.8844272715835	36.8515357971191	28.7820854187012	19.1602142323023	13.0521335601807	28.7820854187012	23.1849026515566	16.9730052947998	0.282541	0.074684	0.030203	0.416109	0.125844	0.030051	pal_bal_107	42.0451166700	3.2265333300
pal_bal_064	38.3120574951172	37.5291482662332	36.7613754272461	38.3896598815918	37.6777345922424	36.6711578369141	38.3120574951172	37.4202525917141	36.7613754272461	38.4161148071289	37.8844272715835	36.8515357971191	28.7820854187012	19.1602142323023	13.0521335601807	28.7820854187012	23.1849026515566	16.9730052947998	0.282541	0.074684	0.030203	0.416109	0.125844	0.030051	pal_bal_117	42.3240166700	3.3216500000
pal_bal_065	38.3165588378906	37.5397947684102	36.7673606872559	38.3831672668457	37.6858291855177	36.674201965332	38.3165588378906	37.4322599213699	36.7673606872559	38.4127998352051	37.8862332347709	36.8558578491211	28.7843036651611	19.143858180649	13.0327863693237	28.7843036651611	23.1701777447229	16.9592056274414	0.282541	0.074684	0.030203	0.416109	0.125844	0.030051	pal_bal_104	40.0862166700	4.1781333300
pal_bal_066	38.3165588378906	37.5397947684102	36.7673606872559	38.3831672668457	37.6858291855177	36.674201965332	38.3165588378906	37.4322599213699	36.7673606872559	38.4127998352051	37.8862332347709	36.8558578491211	28.7843036651611	19.143858180649	13.0327863693237	28.7843036651611	23.1701777447229	16.9592056274414	0.282541	0.074684	0.030203	0.416109	0.125844	0.030051	pal_bal_175	39.8032830000	3.5565330000
pal_bal_067	38.230583190918	37.3379525370981	36.6366500854492	38.2457389831543	37.3862160167475	36.496711730957	38.1951179504395	37.2180497399692	36.6366500854492	38.3795928955078	37.8968560931326	37.1678276062012	29.3662796020508	19.5549646520067	13.2911195755005	29.3662796020508	23.634391105038	17.2479209899902	0.148074	0.058609	0.029119	0.230961	0.062156	0.028454	pal_bal_154	39.6731670000	3.4593670000
pal_bal_068	38.230583190918	37.3379525370981	36.6366500854492	38.2457389831543	37.3862160167475	36.496711730957	38.1951179504395	37.2180497399692	36.6366500854492	38.3795928955078	37.8968560931326	37.1678276062012	29.3662796020508	19.5549646520067	13.2911195755005	29.3662796020508	23.634391105038	17.2479209899902	0.148074	0.058609	0.029119	0.230961	0.062156	0.028454	pal_bal_132	39.6861170000	3.4608330000
pal_bal_069	38.230583190918	37.3379525370981	36.6366500854492	38.2457389831543	37.3862160167475	36.496711730957	38.1951179504395	37.2180497399692	36.6366500854492	38.3795928955078	37.8968560931326	37.1678276062012	29.3662796020508	19.5549646520067	13.2911195755005	29.3662796020508	23.634391105038	17.2479209899902	0.148074	0.058609	0.029119	0.230961	0.062156	0.028454	pal_bal_015	39.8748333300	0.6661666700
pal_bal_070	38.230583190918	37.3379525370981	36.6366500854492	38.2457389831543	37.3862160167475	36.496711730957	38.1951179504395	37.2180497399692	36.6366500854492	38.3795928955078	37.8968560931326	37.1678276062012	29.3662796020508	19.5549646520067	13.2911195755005	29.3662796020508	23.634391105038	17.2479209899902	0.148074	0.058609	0.029119	0.230961	0.062156	0.028454	pal_bal_012	39.9030333300	0.6853666700
pal_bal_071	38.230583190918	37.3379525370981	36.6366500854492	38.2457389831543	37.3862160167475	36.496711730957	38.1951179504395	37.2180497399692	36.6366500854492	38.3795928955078	37.8968560931326	37.1678276062012	29.3662796020508	19.5549646520067	13.2911195755005	29.3662796020508	23.634391105038	17.2479209899902	0.148074	0.058609	0.029119	0.230961	0.062156	0.028454	pal_bal_174	39.8032830000	3.5565330000
